;amor amar sentir;juez coronel reo;claro tomar pasar;bueno casa amigo;doctor alma libro;pasar grande voz;calle niño amigo;secreto inquisidor tribunal;padre anciano amigo;luz cielo sol;grande bueno mundo;griego sultán lleno;claro santo altar;caballo momento echar;dinero papel nombre;blanco color vestir;leer libro carta;pastor pueblo casa;muerte pobre mismo;recibir medio noche;querer bueno casa;jefe político plaza;capitán caballo vida;sor hermano mirar;cura pueblo niño;querer padre llorar;amo muchacho trabajo;madre padre familia;amor vida ángel;jefe secretario regidor
amo muchacho trabajo;0.1501964837;0.1272007986;0.0422747667;0.0423583634;0.013378950300000001;0.3284800292;0.0414555395;0.0380577391;0.0203254254;0.1531093742;0.0740773213;0.0212559498;0.0386832183;0.1376421458;0.0752946526;0.07178889790000001;0.055888173400000005;0.2269795406;0.0339114502;0.1965539016;0.16367555920000001;0.0879504616;0.042419227500000004;0.020098912;0.0390884696;0.1036850242;1.0;0.0626422407;0.0368935186;0.0293683372
amor amar sentir;1.0;0.162000216;0.12080168100000001;0.1742604352;0.26009965300000004;0.6577639134000001;0.1408220237;0.1952052985;0.31863678440000004;0.49239858210000004;0.5045896069;0.1824992741;0.3278751029;0.1399054671;0.2727868824;0.3042770151;0.3452617146;0.2582512822;0.3295331467;0.4783268513;0.45484448250000004;0.0954838655;0.1214306425;0.1344594979;0.2518633051;0.4103854438;0.1501964837;0.3072104644;0.49769332060000004;0.0733181388
amor vida ángel;0.49769332060000004;0.0376510672;0.0922927318;0.1516631616;0.24576659790000002;0.4092990944;0.0739027371;0.08524963540000001;0.08963242020000001;0.4995620291;0.22866797900000002;0.12272060230000001;0.2253685555;0.06693197520000001;0.1544753414;0.22952285730000002;0.2186042665;0.1184125679;0.08475175060000001;0.1339768083;0.2587606114;0.0416003277;0.0310150363;0.1124800995;0.0921314913;0.25058536200000003;0.0368935186;0.2060396582;1.0;0.059460638
blanco color vestir;0.3042770151;0.074413965;0.1597455582;0.33029891310000004;0.0720025038;0.4969201876;0.22754278100000003;0.1234206293;0.07618005900000001;0.34053607350000004;0.3229865249;0.24661540740000001;0.2734324137;0.2801910403;0.1928614318;1.0;0.2766706735;0.2698824886;0.0782912749;0.17215301700000002;0.36838497210000004;0.1842623065;0.0984764046;0.0885558459;0.19722080150000001;0.1323657412;0.07178889790000001;0.3004242951;0.22952285730000002;0.1337565388
bueno casa amigo;0.1742604352;0.062050934700000004;0.1303438214;1.0;0.0505956965;0.2006806643;0.1099744144;0.0409070744;0.0351384291;0.2132175791;0.1886243228;0.0470896285;0.1129094139;0.11150042700000001;0.1456774985;0.33029891310000004;0.1428306463;0.13947902580000002;0.055766070300000005;0.10855598990000001;0.40581452370000004;0.0883475566;0.0392742694;0.0398056332;0.08316935460000001;0.0760112039;0.0423583634;0.1988770521;0.1516631616;0.12613539170000002
caballo momento echar;0.1399054671;0.1179075354;0.1063190403;0.11150042700000001;0.0339640638;0.39442393060000003;0.10111784800000001;0.0401894137;0.045617435500000005;0.1489055269;0.1685469149;0.06541723120000001;0.0443898057;1.0;0.1925949763;0.2801910403;0.0472183019;0.21134749200000003;0.057767818500000005;0.1545375723;0.3031635246;0.3092589156;0.1226161114;0.0319043646;0.07567057540000001;0.0929910379;0.1376421458;0.1325786162;0.06693197520000001;0.1016651617
calle niño amigo;0.1408220237;0.0355582601;0.1984781417;0.1099744144;0.042008963;0.2162100395;1.0;0.081277709;0.0359760632;0.0796973116;0.1661593197;0.0506723222;0.0664863374;0.10111784800000001;0.12210775750000001;0.22754278100000003;0.1331111558;0.07656524690000001;0.0726341986;0.1266096712;0.3210753831;0.050319084300000004;0.0219109387;0.019040923;0.058644013800000006;0.1344522729;0.0414555395;0.16322291830000002;0.0739027371;0.0670237226
capitán caballo vida;0.1214306425;0.0438695288;0.0404281221;0.0392742694;0.026041311600000002;0.2459650545;0.0219109387;0.07359460670000001;0.0558776244;0.07934619080000001;0.0969892564;0.0390626366;0.046458605800000004;0.1226161114;0.1443076533;0.0984764046;0.0336283556;0.12110321880000001;0.050953490600000005;0.1468117801;0.1958004491;0.0635045712;1.0;0.0112097312;0.0587095714;0.1525661924;0.042419227500000004;0.12122801180000001;0.0310150363;0.0557306081
claro santo altar;0.3278751029;0.0346504762;0.0553635394;0.1129094139;0.0848382493;0.31972903;0.0664863374;0.0874029667;0.0611333326;0.3786132185;0.2661757409;0.0777288522;1.0;0.0443898057;0.07667789700000001;0.2734324137;0.1679678782;0.1442280071;0.0850674287;0.1362709633;0.1367997485;0.0427108093;0.046458605800000004;0.21275658560000002;0.1602753451;0.1037039761;0.0386832183;0.10623424740000001;0.2253685555;0.0614269335
claro tomar pasar;0.12080168100000001;0.0257838529;1.0;0.1303438214;0.033814265;0.23245015600000002;0.1984781417;0.0393595735;0.023401052000000002;0.06445692410000001;0.12830269860000001;0.0389635317;0.0553635394;0.1063190403;0.14250684260000002;0.1597455582;0.0791351564;0.0684726845;0.0455520852;0.1656880916;0.4028813383;0.0658990643;0.0404281221;0.047496169500000004;0.0404080328;0.066106513;0.0422747667;0.1250625577;0.0922927318;0.0448354396
cura pueblo niño;0.2518633051;0.0908057262;0.0404080328;0.08316935460000001;0.0233032125;0.2340279815;0.058644013800000006;0.0845544892;0.050157366200000005;0.1017058381;0.3536567038;0.0433777211;0.1602753451;0.07567057540000001;0.0880519438;0.19722080150000001;0.10015772690000001;0.3097673445;0.16604558260000002;0.1769673646;0.277285263;0.08798729100000001;0.0587095714;0.0172992562;1.0;0.13522531470000002;0.0390884696;0.147572761;0.0921314913;0.1519814444
dinero papel nombre;0.2727868824;0.1170250087;0.14250684260000002;0.1456774985;0.1013198416;0.3737931718;0.12210775750000001;0.1206973289;0.049090570900000005;0.1825528524;0.2701371991;0.0752162011;0.07667789700000001;0.1925949763;1.0;0.1928614318;0.2375378207;0.1078764797;0.1390604855;0.2529842129;0.3793171447;0.1299810294;0.1443076533;0.0732871202;0.0880519438;0.1579229872;0.0752946526;0.2067108168;0.1544753414;0.1219421016
doctor alma libro;0.26009965300000004;0.0170448902;0.033814265;0.0505956965;1.0;0.1704242609;0.042008963;0.07164155750000001;0.031518642900000005;0.2556494628;0.2417054391;0.040003388800000005;0.0848382493;0.0339640638;0.1013198416;0.0720025038;0.1259077019;0.0560254685;0.0538412297;0.0730826463;0.1775190262;0.0313745693;0.026041311600000002;0.0447401694;0.0233032125;0.0640207072;0.013378950300000001;0.0456020057;0.24576659790000002;0.0292014293
grande bueno mundo;0.5045896069;0.134728898;0.12830269860000001;0.1886243228;0.2417054391;0.3740740428;0.1661593197;0.1882374741;0.0850447377;0.2441735999;1.0;0.21025259100000002;0.2661757409;0.1685469149;0.2701371991;0.3229865249;0.2771632737;0.2341551447;0.1668555026;0.4500124534;0.4066253744;0.1790393453;0.0969892564;0.0698100479;0.3536567038;0.13683023;0.0740773213;0.31320630320000004;0.22866797900000002;0.1842561036
griego sultán lleno;0.1824992741;0.0238607371;0.0389635317;0.0470896285;0.040003388800000005;0.28556797240000004;0.0506723222;0.06393635090000001;0.0487619217;0.2489531925;0.21025259100000002;1.0;0.0777288522;0.06541723120000001;0.0752162011;0.24661540740000001;0.0716364483;0.0517002497;0.052472171500000005;0.1176782086;0.1024628088;0.023572660000000002;0.0390626366;0.0265066187;0.0433777211;0.11477564230000001;0.0212559498;0.0860172971;0.12272060230000001;0.0222457546
jefe político plaza;0.0954838655;0.0678279131;0.0658990643;0.0883475566;0.0313745693;0.268085687;0.050319084300000004;0.07722518090000001;0.0315453201;0.1460771851;0.1790393453;0.023572660000000002;0.0427108093;0.3092589156;0.1299810294;0.1842623065;0.0642454056;0.21384506720000002;0.057199529000000006;0.1536273498;0.2661567541;1.0;0.0635045712;0.026115373;0.08798729100000001;0.074167008;0.0879504616;0.0894734039;0.0416003277;0.0964894979
jefe secretario regidor;0.0733181388;0.0774827657;0.0448354396;0.12613539170000002;0.0292014293;0.2082784224;0.0670237226;0.058432173500000004;0.020987741900000002;0.048746077000000006;0.1842561036;0.0222457546;0.0614269335;0.1016651617;0.1219421016;0.1337565388;0.1140425818;0.12452865460000001;0.0508393664;0.1835889359;0.2626719201;0.0964894979;0.0557306081;0.0255975908;0.1519814444;0.0515375474;0.0293683372;0.1149853338;0.059460638;1.0
juez coronel reo;0.162000216;1.0;0.0257838529;0.062050934700000004;0.0170448902;0.1935010916;0.0355582601;0.0895066373;0.035327622100000004;0.0440962746;0.134728898;0.0238607371;0.0346504762;0.1179075354;0.1170250087;0.074413965;0.053369826100000003;0.06638665640000001;0.0681411327;0.2000922075;0.2681714356;0.0678279131;0.0438695288;0.0143285923;0.0908057262;0.10047721820000001;0.1272007986;0.12265118200000001;0.0376510672;0.0774827657
leer libro carta;0.3452617146;0.053369826100000003;0.0791351564;0.1428306463;0.1259077019;0.3502342499;0.1331111558;0.074080646;0.0581832054;0.23368888980000002;0.2771632737;0.0716364483;0.1679678782;0.0472183019;0.2375378207;0.2766706735;1.0;0.08207409160000001;0.0730435156;0.152524936;0.3303326686;0.0642454056;0.0336283556;0.0343546405;0.10015772690000001;0.1358734671;0.055888173400000005;0.14203928940000002;0.2186042665;0.1140425818
luz cielo sol;0.49239858210000004;0.0440962746;0.06445692410000001;0.2132175791;0.2556494628;0.5773467917;0.0796973116;0.0865138265;0.11399596120000001;1.0;0.2441735999;0.2489531925;0.3786132185;0.1489055269;0.1825528524;0.34053607350000004;0.23368888980000002;0.3480038055;0.1532799863;0.18114188850000001;0.215446773;0.1460771851;0.07934619080000001;0.0927233172;0.1017058381;0.203916859;0.1531093742;0.11488317640000001;0.4995620291;0.048746077000000006
madre padre familia;0.3072104644;0.12265118200000001;0.1250625577;0.1988770521;0.0456020057;0.3369628873;0.16322291830000002;0.1399933229;0.0982149128;0.11488317640000001;0.31320630320000004;0.0860172971;0.10623424740000001;0.1325786162;0.2067108168;0.3004242951;0.14203928940000002;0.1372317117;0.2222252573;0.22125632480000001;0.4219746026;0.0894734039;0.12122801180000001;0.0418546816;0.147572761;0.21765063480000002;0.0626422407;1.0;0.2060396582;0.1149853338
muerte pobre mismo;0.3295331467;0.0681411327;0.0455520852;0.055766070300000005;0.0538412297;0.240179525;0.0726341986;0.17746535730000002;0.0575546116;0.1532799863;0.1668555026;0.052472171500000005;0.0850674287;0.057767818500000005;0.1390604855;0.0782912749;0.0730435156;0.1186517311;1.0;0.25144858330000003;0.31776538190000003;0.057199529000000006;0.050953490600000005;0.0440382249;0.16604558260000002;0.4128045587;0.0339114502;0.2222252573;0.08475175060000001;0.0508393664
padre anciano amigo;0.31863678440000004;0.035327622100000004;0.023401052000000002;0.0351384291;0.031518642900000005;0.2618044081;0.0359760632;0.062287980900000005;1.0;0.11399596120000001;0.0850447377;0.0487619217;0.0611333326;0.045617435500000005;0.049090570900000005;0.07618005900000001;0.0581832054;0.057204026000000005;0.0575546116;0.1115540627;0.0819472698;0.0315453201;0.0558776244;0.0375549782;0.050157366200000005;0.1022808083;0.0203254254;0.0982149128;0.08963242020000001;0.020987741900000002
pasar grande voz;0.6577639134000001;0.1935010916;0.23245015600000002;0.2006806643;0.1704242609;1.0;0.2162100395;0.2874887114;0.2618044081;0.5773467917;0.3740740428;0.28556797240000004;0.31972903;0.39442393060000003;0.3737931718;0.4969201876;0.3502342499;0.3980310718;0.240179525;0.4689643538;0.5413889494;0.268085687;0.2459650545;0.21024731940000002;0.2340279815;0.43656849210000004;0.3284800292;0.3369628873;0.4092990944;0.2082784224
pastor pueblo casa;0.2582512822;0.06638665640000001;0.0684726845;0.13947902580000002;0.0560254685;0.3980310718;0.07656524690000001;0.0600446113;0.057204026000000005;0.3480038055;0.2341551447;0.0517002497;0.1442280071;0.21134749200000003;0.1078764797;0.2698824886;0.08207409160000001;1.0;0.1186517311;0.21699820390000002;0.2583050844;0.21384506720000002;0.12110321880000001;0.0547443309;0.3097673445;0.11094567770000001;0.2269795406;0.1372317117;0.1184125679;0.12452865460000001
querer bueno casa;0.45484448250000004;0.2681714356;0.4028813383;0.40581452370000004;0.1775190262;0.5413889494;0.3210753831;0.19155680700000002;0.0819472698;0.215446773;0.4066253744;0.1024628088;0.1367997485;0.3031635246;0.3793171447;0.36838497210000004;0.3303326686;0.2583050844;0.31776538190000003;0.4279994556;1.0;0.2661567541;0.1958004491;0.049631168100000005;0.277285263;0.30880285960000003;0.16367555920000001;0.4219746026;0.2587606114;0.2626719201
querer padre llorar;0.4103854438;0.10047721820000001;0.066106513;0.0760112039;0.0640207072;0.43656849210000004;0.1344522729;0.192309365;0.1022808083;0.203916859;0.13683023;0.11477564230000001;0.1037039761;0.0929910379;0.1579229872;0.1323657412;0.1358734671;0.11094567770000001;0.4128045587;0.2498689665;0.30880285960000003;0.074167008;0.1525661924;0.0813658267;0.13522531470000002;1.0;0.1036850242;0.21765063480000002;0.25058536200000003;0.0515375474
recibir medio noche;0.4783268513;0.2000922075;0.1656880916;0.10855598990000001;0.0730826463;0.4689643538;0.1266096712;0.254664357;0.1115540627;0.18114188850000001;0.4500124534;0.1176782086;0.1362709633;0.1545375723;0.2529842129;0.17215301700000002;0.152524936;0.21699820390000002;0.25144858330000003;1.0;0.4279994556;0.1536273498;0.1468117801;0.069137635;0.1769673646;0.2498689665;0.1965539016;0.22125632480000001;0.1339768083;0.1835889359
secreto inquisidor tribunal;0.1952052985;0.0895066373;0.0393595735;0.0409070744;0.07164155750000001;0.2874887114;0.081277709;1.0;0.062287980900000005;0.0865138265;0.1882374741;0.06393635090000001;0.0874029667;0.0401894137;0.1206973289;0.1234206293;0.074080646;0.0600446113;0.17746535730000002;0.254664357;0.19155680700000002;0.07722518090000001;0.07359460670000001;0.0275732541;0.0845544892;0.192309365;0.0380577391;0.1399933229;0.08524963540000001;0.058432173500000004
sor hermano mirar;0.1344594979;0.0143285923;0.047496169500000004;0.0398056332;0.0447401694;0.21024731940000002;0.019040923;0.0275732541;0.0375549782;0.0927233172;0.0698100479;0.0265066187;0.21275658560000002;0.0319043646;0.0732871202;0.0885558459;0.0343546405;0.0547443309;0.0440382249;0.069137635;0.049631168100000005;0.026115373;0.0112097312;1.0;0.0172992562;0.0813658267;0.020098912;0.0418546816;0.1124800995;0.0255975908
